REGULAR;c1;Alice;3540;2024-03-10
REGULAR;c2;Bob;2300;2024-01-04
GOLD;c3;Carol;2700;
REGULAR;b496d6f5-3b62-4add-b8a8-c13166c39244;David;0;2024-05-01
REGULAR;4d50aedc-62b9-41d7-9524-ac69e654240c;David;0;2024-05-01
REGULAR;39797c17-62fe-42c0-a6cf-0f57b4549fab;David;0;2024-05-01
REGULAR;9509a0cf-bd2b-4847-9bfa-cae95b6e205e;David;0;2024-05-01
REGULAR;2da2ca8a-d11a-41d2-9819-4e6d90b58541;David;0;2024-05-01
REGULAR;3881f013-40c3-433a-8fda-32a43c2d9cee;David;0;2024-05-01
REGULAR;af7ee619-6f6f-4176-8709-9bed6b57808c;David;0;2024-05-01
REGULAR;20ec230a-4ba9-4450-8741-7e3486d5ed57;David;0;2024-05-01
REGULAR;0175d245-3dcc-4540-a5a3-385ac35c6d82;David;0;2024-05-01
REGULAR;666b31e4-2d12-4548-aafe-e3c8ca32dacf;David;0;2024-05-01
REGULAR;dc1f6c37-619e-445d-b89a-d10c0b40b4d1;David;0;2024-05-01
REGULAR;3ea0c46f-1ebf-45e8-a184-6d747df6c96a;David;0;2024-05-01
REGULAR;a5c22cc4-ccae-47ec-9f1c-3ced1b521b24;David;0;2024-05-01
REGULAR;0d9ee3fd-342e-45a8-b3aa-8cc73d57f3ed;David;0;2024-05-01
REGULAR;14b4f3c8-150d-4558-911e-3674370c480e;David;0;2024-05-01
REGULAR;5bf4d300-c084-450d-ae31-355112edcdf9;David;0;2024-05-01
REGULAR;90c7774e-588a-4a9b-9dcd-fa1da40e69ca;David;0;2024-05-01
REGULAR;b5e2fe84-3046-410a-9cbc-d4bb19f446d4;David;0;2024-05-01
REGULAR;c4;David;0;2024-05-01
REGULAR;11197ce4-bcea-4c86-8eba-2770c1061157;David;0;2024-05-01
REGULAR;7bf0f90e-5e3f-49d5-af21-d0ec245ba8f3;David;0;2024-05-01
